word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
smaklöst,10,35,8.7e-07,3.23e-06,0.268127
nedslagen,10,35,8.7e-07,3.23e-06,0.268127
byggnationen,20,70,1.73e-06,6.46e-06,0.268127
välbalanserad,12,42,1.04e-06,3.88e-06,0.268127
oroande,74,259,6.41e-06,2.39e-05,0.268127
definitivt,551,1926,4.773e-05,0.00017776,0.268476
nonsens,29,101,2.51e-06,9.32e-06,0.269455
gradvis,155,539,1.343e-05,4.975e-05,0.269869
sökfältet,17,59,1.47e-06,5.45e-06,0.2704
bemärkelsen,17,59,1.47e-06,5.45e-06,0.2704
vårdpersonal,62,215,5.37e-06,1.984e-05,0.270622
vidarebefordras,13,45,1.13e-06,4.15e-06,0.271107
väckningsservice,11,38,9.5e-07,3.51e-06,0.271655
hörnsten,11,38,9.5e-07,3.51e-06,0.271655
märkbar,20,69,1.73e-06,6.37e-06,0.272013
nätverkande,14,48,1.21e-06,4.43e-06,0.273713
meddelades,26,89,2.25e-06,8.21e-06,0.274153
anmärkningsvärda,31,106,2.69e-06,9.78e-06,0.274451
initialt,55,188,4.76e-06,1.735e-05,0.274545
vandalism,12,41,1.04e-06,3.78e-06,0.274667
mållös,12,41,1.04e-06,3.78e-06,0.274667
bilresa,61,208,5.28e-06,1.92e-05,0.275217
anala,10,34,8.7e-07,3.14e-06,0.276014
jobbannonser,10,34,8.7e-07,3.14e-06,0.276014
vardagsbruk,10,34,8.7e-07,3.14e-06,0.276014
förolämpningar,15,51,1.3e-06,4.71e-06,0.276014
volontärarbete,10,34,8.7e-07,3.14e-06,0.276014
initiala,28,95,2.43e-06,8.77e-06,0.276595
kräsna,19,64,1.65e-06,5.91e-06,0.278601
behagliga,30,101,2.6e-06,9.32e-06,0.278746
skojs,11,37,9.5e-07,3.41e-06,0.278998
anus,11,37,9.5e-07,3.41e-06,0.278998
duglig,11,37,9.5e-07,3.41e-06,0.278998
relaterad,47,158,4.07e-06,1.458e-05,0.279158
förnamn,110,369,9.53e-06,3.406e-05,0.279754
mataffär,17,57,1.47e-06,5.26e-06,0.279887
doseringsanvisningarna,18,60,1.56e-06,5.54e-06,0.281534
barnavårdscentralen,18,60,1.56e-06,5.54e-06,0.281534
förutspår,18,60,1.56e-06,5.54e-06,0.281534
skanna,22,73,1.91e-06,6.74e-06,0.282819
årsjubileum,44,146,3.81e-06,1.348e-05,0.282819
talaren,16,53,1.39e-06,4.89e-06,0.283305
utlöste,13,43,1.13e-06,3.97e-06,0.283716
fritidsaktiviteter,23,76,1.99e-06,7.01e-06,0.284003
juicen,10,33,8.7e-07,3.05e-06,0.284378
matsked,17,56,1.47e-06,5.17e-06,0.284885
rättssystemet,31,102,2.69e-06,9.41e-06,0.285214
adventskalender,14,46,1.21e-06,4.25e-06,0.285614
saktar,18,59,1.56e-06,5.45e-06,0.286306
förglömma,18,59,1.56e-06,5.45e-06,0.286306
tupplur,11,36,9.5e-07,3.32e-06,0.286747
genomsnittlige,15,49,1.3e-06,4.52e-06,0.287279
föråldrat,12,39,1.04e-06,3.6e-06,0.288753
skoningslöst,12,39,1.04e-06,3.6e-06,0.288753
weekendresa,12,39,1.04e-06,3.6e-06,0.288753
fastighetsmäklare,25,81,2.17e-06,7.48e-06,0.289644
opinionsmätningar,17,55,1.47e-06,5.08e-06,0.290065
trädgårdsarbete,18,58,1.56e-06,5.35e-06,0.291242
solpaneler,18,58,1.56e-06,5.35e-06,0.291242
betydande,393,1265,3.404e-05,0.00011676,0.291549
metabolism,20,64,1.73e-06,5.91e-06,0.293264
mållinjen,20,64,1.73e-06,5.91e-06,0.293264
bottenvåningen,21,67,1.82e-06,6.18e-06,0.29414
rotade,16,51,1.39e-06,4.71e-06,0.294415
vänliga,218,694,1.888e-05,6.405e-05,0.294786
frilansare,11,35,9.5e-07,3.23e-06,0.29494
förklarades,17,54,1.47e-06,4.98e-06,0.295437
schemalagda,12,38,1.04e-06,3.51e-06,0.296351
undvek,18,57,1.56e-06,5.26e-06,0.296351
omdirigeras,12,38,1.04e-06,3.51e-06,0.296351
beviljades,18,57,1.56e-06,5.26e-06,0.296351
säkrade,36,114,3.12e-06,1.052e-05,0.296351
barnpornografi,27,85,2.34e-06,7.85e-06,0.298095
scrolla,21,66,1.82e-06,6.09e-06,0.298597
distinkta,21,66,1.82e-06,6.09e-06,0.298597
aspekterna,42,132,3.64e-06,1.218e-05,0.298597
skriftligen,91,286,7.88e-06,2.64e-05,0.298597
ivrig,38,119,3.29e-06,1.098e-05,0.299672
mcdonald,42,131,3.64e-06,1.209e-05,0.300876
vilseleda,17,53,1.47e-06,4.89e-06,0.301011
köpcentrum,45,140,3.9e-06,1.292e-05,0.301643
centralbyrån,27,84,2.34e-06,7.75e-06,0.301643
attackerade,39,121,3.38e-06,1.117e-05,0.302474
påtvinga,10,31,8.7e-07,2.86e-06,0.302725
smörgåsar,30,93,2.6e-06,8.58e-06,0.302725
årsstämma,20,62,1.73e-06,5.72e-06,0.302725
ipads,10,31,8.7e-07,2.86e-06,0.302725
tröttsamt,30,93,2.6e-06,8.58e-06,0.302725
beställts,10,31,8.7e-07,2.86e-06,0.302725
huva,11,34,9.5e-07,3.14e-06,0.303615
immunsystemet,11,34,9.5e-07,3.14e-06,0.303615
stadsplanering,11,34,9.5e-07,3.14e-06,0.303615
överlack,11,34,9.5e-07,3.14e-06,0.303615
vaginala,12,37,1.04e-06,3.41e-06,0.304361
bravoflys,12,37,1.04e-06,3.41e-06,0.304361
löjlig,24,74,2.08e-06,6.83e-06,0.304361
slutföra,87,268,7.54e-06,2.474e-05,0.304645
undergräva,13,40,1.13e-06,3.69e-06,0.304995
textur,13,40,1.13e-06,3.69e-06,0.304995
tidsbegränsad,13,40,1.13e-06,3.69e-06,0.304995
berusad,26,80,2.25e-06,7.38e-06,0.304995
klasskamrat,13,40,1.13e-06,3.69e-06,0.304995
molnigt,13,40,1.13e-06,3.69e-06,0.304995
osammanhängande,14,43,1.21e-06,3.97e-06,0.305541
bleknar,15,46,1.3e-06,4.25e-06,0.306015
inkluderas,66,202,5.72e-06,1.864e-05,0.306621
kvoter,17,52,1.47e-06,4.8e-06,0.3068
omkringliggande,17,52,1.47e-06,4.8e-06,0.3068
mottagits,18,55,1.56e-06,5.08e-06,0.307128
födelsedagsfest,19,58,1.65e-06,5.35e-06,0.307422
communityn,19,58,1.65e-06,5.35e-06,0.307422
huvudkaraktären,20,61,1.73e-06,5.63e-06,0.307687
klumpigt,21,64,1.82e-06,5.91e-06,0.307928
betalningsmetoder,21,64,1.82e-06,5.91e-06,0.307928
liberalerna,64,195,5.54e-06,1.8e-05,0.308003
förälskade,32,97,2.77e-06,8.95e-06,0.309591
jacuzzi,33,100,2.86e-06,9.23e-06,0.309687
valfria,35,106,3.03e-06,9.78e-06,0.309864
lyckligtvis,104,313,9.01e-06,2.889e-05,0.311816
festlig,17,51,1.47e-06,4.71e-06,0.312815
fransväska,11,33,9.5e-07,3.05e-06,0.312815
hemlagade,10,30,8.7e-07,2.77e-06,0.312815
centraleuropa,12,36,1.04e-06,3.32e-06,0.312815
välfärdsstat,12,36,1.04e-06,3.32e-06,0.312815
rusa,33,99,2.86e-06,9.14e-06,0.312815
marsipan,12,36,1.04e-06,3.32e-06,0.312815
dekorerat,13,39,1.13e-06,3.6e-06,0.312815
längdskidor,12,36,1.04e-06,3.32e-06,0.312815
smulor,10,30,8.7e-07,2.77e-06,0.312815
förlitar,37,111,3.2e-06,1.024e-05,0.312815
förökar,11,33,9.5e-07,3.05e-06,0.312815
klibbiga,10,30,8.7e-07,2.77e-06,0.312815
vävda,11,33,9.5e-07,3.05e-06,0.312815
vagina,13,39,1.13e-06,3.6e-06,0.312815
ompröva,23,69,1.99e-06,6.37e-06,0.312815
subtilt,13,39,1.13e-06,3.6e-06,0.312815
krisberedskap,13,39,1.13e-06,3.6e-06,0.312815
avlidne,45,135,3.9e-06,1.246e-05,0.312815
sökanden,40,119,3.46e-06,1.098e-05,0.315444
uthärda,31,92,2.69e-06,8.49e-06,0.316216
hejdå,47,139,4.07e-06,1.283e-05,0.317316
välutrustad,21,62,1.82e-06,5.72e-06,0.317861
equity,20,59,1.73e-06,5.45e-06,0.318117
återbetala,17,50,1.47e-06,4.61e-06,0.319072
investeras,16,47,1.39e-06,4.34e-06,0.319471
startpunkten,15,44,1.3e-06,4.06e-06,0.319925
budgetförslag,15,44,1.3e-06,4.06e-06,0.319925
initiera,29,85,2.51e-06,7.85e-06,0.320176
förmodligen,780,2285,6.756e-05,0.0002109,0.320345
artificiella,14,41,1.21e-06,3.78e-06,0.320445
överträffade,14,41,1.21e-06,3.78e-06,0.320445
prakt,13,38,1.13e-06,3.51e-06,0.321047
vardagslivet,37,108,3.2e-06,9.97e-06,0.321505
strikta,48,140,4.16e-06,1.292e-05,0.321753
tidsram,12,35,1.04e-06,3.23e-06,0.321753
pastellfärger,12,35,1.04e-06,3.23e-06,0.321753
såvitt,45,131,3.9e-06,1.209e-05,0.322367
ådragit,11,32,9.5e-07,2.95e-06,0.322591
bieffekt,11,32,9.5e-07,2.95e-06,0.322591
informerats,11,32,9.5e-07,2.95e-06,0.322591
coolaste,32,93,2.77e-06,8.58e-06,0.322906
eliminerar,21,61,1.82e-06,5.63e-06,0.323072
konversation,41,119,3.55e-06,1.098e-05,0.32333
meteorologiska,10,29,8.7e-07,2.68e-06,0.323602
nyanställda,10,29,8.7e-07,2.68e-06,0.323602
slutförda,10,29,8.7e-07,2.68e-06,0.323602
strängare,39,113,3.38e-06,1.043e-05,0.323889
sistone,109,315,9.44e-06,2.907e-05,0.324732
förutspådde,17,49,1.47e-06,4.52e-06,0.325583
antiinflammatoriska,17,49,1.47e-06,4.52e-06,0.325583
baserades,23,66,1.99e-06,6.09e-06,0.327034
specificerar,15,43,1.3e-06,3.97e-06,0.327365
sedvänjor,15,43,1.3e-06,3.97e-06,0.327365
kirurgiskt,15,43,1.3e-06,3.97e-06,0.327365
kommitténs,15,43,1.3e-06,3.97e-06,0.327365
mejeriprodukter,22,63,1.91e-06,5.81e-06,0.327711
folkhälsomyndigheten,22,63,1.91e-06,5.81e-06,0.327711
nagellack,66,189,5.72e-06,1.744e-05,0.327711
hjälpsam,73,209,6.32e-06,1.929e-05,0.327783
