word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
election,16,87,1.39e-06,7.87e-06,0.176026
certainly,14,76,1.21e-06,6.88e-06,0.176316
efficient,12,65,1.04e-06,5.88e-06,0.176703
reduce,24,130,2.08e-06,1.176e-05,0.176703
able,85,460,7.36e-06,4.163e-05,0.176863
does,113,611,9.79e-06,5.529e-05,0.177017
various,33,178,2.86e-06,1.611e-05,0.177448
requirements,18,97,1.56e-06,8.78e-06,0.177614
österrikes,18,97,1.56e-06,8.78e-06,0.177614
something,129,694,1.117e-05,6.28e-05,0.177913
ordinary,11,59,9.5e-07,5.34e-06,0.17845
swimming,15,80,1.3e-06,7.24e-06,0.179464
surfing,12,64,1.04e-06,5.79e-06,0.179464
tax,49,261,4.24e-06,2.362e-05,0.179694
förfarandet,72,382,6.24e-06,3.457e-05,0.180404
played,23,122,1.99e-06,1.104e-05,0.180445
possibilities,10,53,8.7e-07,4.8e-06,0.180593
ends,10,53,8.7e-07,4.8e-06,0.180593
generally,10,53,8.7e-07,4.8e-06,0.180593
training,62,328,5.37e-06,2.968e-05,0.180923
appear,14,74,1.21e-06,6.7e-06,0.181081
stänk,12,63,1.04e-06,5.7e-06,0.182313
buying,13,68,1.13e-06,6.15e-06,0.182983
hardly,13,68,1.13e-06,6.15e-06,0.182983
completed,14,73,1.21e-06,6.61e-06,0.183562
victory,10,52,8.7e-07,4.71e-06,0.184066
course,115,598,9.96e-06,5.412e-05,0.184066
temperature,10,52,8.7e-07,4.71e-06,0.184066
affärsresor,10,52,8.7e-07,4.71e-06,0.184066
themselves,36,187,3.12e-06,1.692e-05,0.184263
förmodligen,780,4047,6.756e-05,0.00036623,0.184475
stretch,17,88,1.47e-06,7.96e-06,0.184903
housing,17,88,1.47e-06,7.96e-06,0.184903
itself,35,181,3.03e-06,1.638e-05,0.185083
increases,12,62,1.04e-06,5.61e-06,0.185254
makt,715,3693,6.193e-05,0.00033419,0.185312
member,31,160,2.69e-06,1.448e-05,0.185447
goal,35,180,3.03e-06,1.629e-05,0.186111
korrigering,14,72,1.21e-06,6.52e-06,0.186111
billion,15,77,1.3e-06,6.97e-06,0.186457
easily,39,200,3.38e-06,1.81e-05,0.186643
turn,45,230,3.9e-06,2.081e-05,0.187267
plants,10,51,8.7e-07,4.62e-06,0.187675
committed,11,56,9.5e-07,5.07e-06,0.18801
visible,12,61,1.04e-06,5.52e-06,0.188291
problems,51,259,4.42e-06,2.344e-05,0.188472
whose,13,66,1.13e-06,5.97e-06,0.188528
discuss,14,71,1.21e-06,6.43e-06,0.188733
she,246,1246,2.131e-05,0.00011276,0.188971
has,733,3692,6.349e-05,0.0003341,0.190029
ordförande,1061,5329,9.19e-05,0.00048224,0.190567
waiting,17,85,1.47e-06,7.69e-06,0.191429
prevent,16,80,1.39e-06,7.24e-06,0.191429
values,16,80,1.39e-06,7.24e-06,0.191429
meat,21,105,1.82e-06,9.5e-06,0.191429
affärsresenärer,26,130,2.25e-06,1.176e-05,0.191429
